Literature Review;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BibliographyType;Copy & Paste für Tabelle (Dots) —> Incentives & Environment;Copy & Paste für Tabelle (Dots);Copy & Paste für Tabelle (Checkmark);ISBN;Identifier;Author;Title;Journal;Volume;Number;Month;Pages;Year;Address;Note;URL;Booktitle;Chapter;Edition;Series;Editor;Publisher;ReportType;Howpublished;Institution;Organizations;School;Annote;Custom1;Custom2;Custom3;Custom4;Custom5;Contains Incentive?;Latex Incentives & Environment;Economic;Social;No specific incentive;Money / Monetary Reward / Price;Resources (Services, Data);Token / Coin / Virtuelles Guthaben;Status / Reputation;IoT Domain;Forensics;Scenario;Scenario;Technology;Domains (aus Table 4);Strategy;Legislation & Regulation;Governance;Compliance;Training;System & Events;Policy & Procedure;Risk Management;Monitor & Report;Act / All Domains;Device;Network;Cloud;IoT Layer;Technical;Personal;Incentive
7;Kenneally \cite{8835417} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Kenneally \cite{8835417} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Kenneally \cite{8835417} & 2019 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8835417;Kenneally, Erin;Economics and Incentives Driving IoT Privacy and Security, Pt. 1;IEEE Internet of Things Magazine;2;1;;6-7;2019;;;;;;;;;;;;;;;;;;;;;Yes;"$\bullet$ &  &  &  &  & $\bullet$ & Generic & not included & IoT-cost-benefit-consideration; implement privacy and security with inventives & - \\";0;0;X;;;;;Generic;not included;Privacy Protection;"IoT-cost-benefit-consideration; implement privacy and security with inventives";-;Strategy, Risk Management;1;;;;;;;1;;;0;0;0;IoT;0;1;Structural
7;\rowcolor{gray!25} Kenneally \cite{8892759} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Kenneally \cite{8892759} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Kenneally \cite{8892759} & 2019 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8892759;Kenneally, Erin;Economics and Incentives Driving IoT Privacy and Security, Pt. 2;IEEE Internet of Things Magazine;2;2;;5-7;2019;;;;;;;;;;;;;;;;;;;;;Yes;$\bullet$ &  &  &  &  & $\bullet$ & Generic & not included & data collection vs. data privacy & - \\;0;0;X;;;;;Generic;not included;Privacy Protection;data collection vs. data privacy;-;Governance;;;1;;;;;;;;0;0;0;IoT;0;1;Structural
7;Lin et al. \cite{8716599} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Lin et al. \cite{8716599} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Lin et al. \cite{8716599} & 2019 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8716599;"Lin, Xi; Li, Jianhua; Wu, Jun; Liang, Haoran; Yang, Wu";Making Knowledge Tradable in Edge-AI Enabled IoT: A Consortium Blockchain-Based Efficient and Incentive Approach;IEEE Transactions on Industrial Informatics;15;12;;6367-6378;2019;;;;;;;;;;;;;;;;;;;;;Yes; & $\bullet$ &  & $\bullet$ &  & $\bullet$ & AI & not included & Knowledge Trading, classification, detection and prediction & Blockchain, peer-to-peer (P2P) knowledge market  \\;1;0;;X;;X;;AI;not included;Knowledge Trading;Knowledge Trading, classification, detection and prediction;Blockchain, peer-to-peer (P2P) knowledge market ;Governance;;;1;;;;;;;;1;1;0;Device, Network;0;1;Structural
7;\rowcolor{gray!25} Liu et al. \cite{8544018} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Liu et al. \cite{8544018} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Liu et al. \cite{8544018} & 2019 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8544018;"Liu, Jiaqi; Gao, Wen; Li, Deng; Huang, Shiyue; Liu, Hui";An Incentive Mechanism Combined With Anchoring Effect and Loss Aversion to Stimulate Data Offloading in IoT;IEEE Internet of Things Journal;6;3;;4491-4511;2019;;;;;;;;;;;;;;;;;;;;;Yes; & $\bullet$ &  &  &  & $\bullet$ & Generic & not included & Data offloading, network offloading & Anchoring Effect and Loss Aversion on Offloading \\;1;0;;X;;;;Generic;not included;Data Offloading;Data offloading, network offloading;Anchoring Effect and Loss Aversion on Offloading;Risk Management;;;;;;;;1;;;1;1;0;Device, Network;0;1;Structural
7;Tang et al. \cite{8737719} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Tang et al. \cite{8737719} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Tang et al. \cite{8737719} & 2019 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8737719;"Tang, Wenjuan; Ren, Ju; Deng, Kun; Zhang, Yaoxue";Secure Data Aggregation of Lightweight E-Healthcare IoT Devices With Fair Incentives;IEEE Internet of Things Journal;6;5;;8714-8726;2019;;;;;;;;;;;;;;;;;;;;;Yes;$\bullet$ &  &  &  &  & $\bullet$ & E-health & Partially included (differential attack) & Secure health data aggregation & privacy-preserving heath data aggregation scheme  \\;0;0;X;;;;;E-health;Partially included (differential attack);Collaborative Tasks;Secure health data aggregation;privacy-preserving heath data aggregation scheme ;Monitor & Report, Risk Management;;;;;;;;1;1;;1;1;0;Device, network;0;1;Structural
6;\rowcolor{gray!25} Wu et al. \cite{8884853} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Wu et al. \cite{8884853} & 2019 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Wu et al. \cite{8884853} & 2019 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8884853;"Wu, Bo; Xu, Ke; Li, Qi; Liu, Zhuotao; Hu, Yih-Chun; Zhang, Zhichao; Du, Xinle; Liu, Bingyang; Ren, Shoushou";SmartCrowd: Decentralized and Automated Incentives for Distributed IoT System Detection;;;;;1106-1116;2019;;;;2019 IEEE 39th International Conference on Distributed Computing Systems (ICDCS);;;;;;;;;;;;;;;;;Yes; & $\bullet$ &  & $\bullet$ & $\bullet$ & $\bullet$ & Distributed & not included & Distributed system detection, outsource security detection & Blockchain-based platform, smart contracts \\;1;1;;X;;X;X;Distributed;not included;Vulnerability Detection;Distributed system detection, outsource security detection;Blockchain-based platform, smart contracts;Monitor & Report;;;;;;;;;1;;0;0;0;IoT;0;1;Structural
6;Abusafia et al. \cite{9284520} & 2020 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Abusafia et al. \cite{9284520} & 2020 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Abusafia et al. \cite{9284520} & 2020 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;9284520;"Abusafia, Amani; Bouguettaya, Athman; Mistry, Sajib";Incentive-Based Selection and Composition of IoT Energy Services;;;;;304-311;2020;;;;2020 IEEE International Conference on Services Computing (SCC);;;;;;;;;;;;;;;;;Yes; & $\bullet$ & $\bullet$ &  & $\bullet$ & $\bullet$ & Energy, Wearable & not included & Wireless Energy transfer & QoS, service-oriented architecture (SOA) with an energy service management system  \\;1;1;;X;X;;X;Energy, Wearable;not included;Wireless Energy Transfer;Wireless Energy transfer;QoS, service-oriented architecture (SOA) with an energy service management system ;Risk Management;;;;;;;;1;;;0;0;0;IoT;1;0;Technical
7;\rowcolor{gray!25} Alghamdi et al. \cite{8938743} & 2020 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Alghamdi et al. \cite{8938743} & 2020 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Alghamdi et al. \cite{8938743} & 2020 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8938743;"Alghamdi, Turki Ali; Ali, Ishtiaq; Javaid, Nadeem; Shafiq, Muhammad";Secure Service Provisioning Scheme for Lightweight IoT Devices With a Fair Payment System and an Incentive Mechanism Based on Blockchain;IEEE Access;8;;;1048-1061;2020;;;;;;;;;;;;;;;;;;;;;Yes; &  &  &  & $\bullet$ & $\bullet$ & Generic & Partially included (evidence recorder) & Blockchain-based incentive system for lightweight IoT devices & Blockchain, secure service provisioning, AES \\;0;1;;;;;X;Generic;Partially included (evidence recorder);Service Provisioning;Blockchain-based incentive system for lightweight IoT devices;Blockchain, secure service provisioning, AES;System & Events;;;;;;1;;;;;1;1;0;Device, Network;1;0;Technical
6;Cheng et al. \cite{9283968} & 2020 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Cheng et al. \cite{9283968} & 2020 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Cheng et al. \cite{9283968} & 2020 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;9283968;"Cheng, Guanjie; Deng, Shuiguang; Xiang, Zhengzhe; Chen, Yan; Yin, Jianwei";An Auction-Based Incentive Mechanism with Blockchain for IoT Collaboration;;;;;17-26;2020;;;;2020 IEEE International Conference on Web Services (ICWS);;;;;;;;;;;;;;;;;Yes; &  &  & $\bullet$ &  & $\bullet$ & MCS & not included & Collaborative tasks & Blockchain, auction mechanism, incentive mechanism \\;1;0;;;;X;;MCS;not included;Collaborative Tasks;Collaborative tasks;Blockchain, auction mechanism, incentive mechanism;Governance;;;1;;;;;;;;1;1;0;Device, Network;1;0;Technical
7;\rowcolor{gray!25} Lu et al. \cite{8716560} & 2020 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;\rowcolor{gray!25} Lu et al. \cite{8716560} & 2020 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;\rowcolor{gray!25} Lu et al. \cite{8716560} & 2020 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;8716560;"Lu, Weidang; Hu, Su; Liu, Xin; He, Chenxin; Gong, Yi";Incentive Mechanism Based Cooperative Spectrum Sharing for OFDM Cognitive IoT Network;IEEE Transactions on Network Science and Engineering;7;2;;662-672;2020;;;;;;;;;;;;;;;;;;;;;Yes; & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & AI & not included & Cooperative Spectrum Sharing & Contract theory, Orthogonal Frequency Division Multiplexing, CR \\;1;1;;X;X;X;X;AI;not included;Collaborative Tasks;Cooperative Spectrum Sharing;Contract theory, Orthogonal Frequency Division Multiplexing, CR;Governance;;;1;;;;;;;;1;1;0;Device, Network;1;0;Technical
6;Morgner et al. \cite{9152783} & 2020 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & IoT Security & $\bullet$ & Collaboration & Blockchain \\;Morgner et al. \cite{9152783} & 2020 & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ & $\bullet$ \\;Morgner et al. \cite{9152783} & 2020 & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark & \checkmark \\;;9152783;"Morgner, Philipp; Mai, Christoph; Koschate-Fischer, Nicole; Freiling, Felix; Benenson, Zinaida";Security Update Labels: Establishing Economic Incentives for Security Patching of IoT Consumer Products;;;;;429-446;2020;;;;2020 IEEE Symposium on Security and Privacy (SP);;;;;;;;;;;;;;;;;Yes;$\bullet$ &  &  &  &  & $\bullet$ & Consumer & not included & Security patching of IoT Consumer Products & Product Labeling (security update label), regulatory framework \\;0;0;X;;;;;Consumer;not included;Security Patching;Security patching of IoT Consumer Products;Product Labeling (security update label), regulatory framework;Monitor & Report, Risk Management;;;;;;;;1;1;;1;0;0;Device;0;1;Structural (organizational)
